,Unnamed: 0,Unnamed: 0.1,Timestamp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,Method;Timestamp;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
0,0.0,0.0,7/13/2021 17:15:49,4.0,6.0,1.0,2.0,4.0,5.0,5.0,3.0,5.0,2.0,4.0,6.0,4.0,4.0,7.0,6.0,3.0,3.0,3.0,5.0,2.0,3.0,3.0,2.0,2.0,6.0,
1,1.0,1.0,7/13/2021 17:49:00,5.0,7.0,2.0,1.0,4.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,7.0,5.0,4.0,5.0,3.0,3.0,3.0,6.0,1.0,3.0,2.0,3.0,2.0,5.0,
2,2.0,2.0,7/13/2021 21:54:49,3.0,5.0,1.0,1.0,3.0,5.0,6.0,7.0,4.0,2.0,3.0,2.0,6.0,4.0,6.0,5.0,4.0,2.0,5.0,5.0,3.0,5.0,5.0,4.0,2.0,7.0,
3,3.0,3.0,7/13/2021 22:14:56,5.0,7.0,2.0,1.0,3.0,4.0,4.0,6.0,2.0,2.0,6.0,4.0,7.0,4.0,7.0,7.0,4.0,4.0,4.0,7.0,2.0,4.0,1.0,3.0,4.0,4.0,
4,4.0,4.0,7/13/2021 23:03:29,5.0,5.0,2.0,2.0,3.0,4.0,5.0,5.0,3.0,2.0,4.0,3.0,5.0,5.0,6.0,5.0,4.0,2.0,3.0,5.0,3.0,5.0,3.0,3.0,3.0,7.0,
5,5.0,5.0,7/13/2021 23:43:22,6.0,7.0,1.0,1.0,1.0,7.0,7.0,7.0,2.0,1.0,7.0,1.0,4.0,6.0,7.0,7.0,1.0,1.0,1.0,6.0,1.0,4.0,7.0,1.0,1.0,7.0,
6,6.0,6.0,7/14/2021 0:32:49,7.0,7.0,1.0,1.0,5.0,6.0,6.0,7.0,2.0,2.0,3.0,3.0,6.0,4.0,6.0,5.0,5.0,3.0,3.0,3.0,2.0,6.0,3.0,2.0,4.0,4.0,
7,7.0,7.0,7/15/2021 16:52:53,6.0,6.0,2.0,1.0,3.0,6.0,7.0,5.0,3.0,1.0,4.0,3.0,6.0,6.0,7.0,5.0,3.0,2.0,4.0,5.0,4.0,3.0,4.0,2.0,2.0,7.0,
8,8.0,8.0,7/15/2021 17:37:12,5.0,5.0,2.0,1.0,3.0,5.0,5.0,3.0,5.0,2.0,3.0,4.0,5.0,4.0,6.0,5.0,4.0,3.0,6.0,5.0,3.0,4.0,3.0,2.0,2.0,6.0,
9,9.0,9.0,7/15/2021 17:50:38,5.0,6.0,3.0,1.0,2.0,1.0,5.0,4.0,2.0,5.0,4.0,1.0,6.0,6.0,7.0,5.0,2.0,6.0,6.0,1.0,2.0,6.0,1.0,3.0,2.0,6.0,
10,10.0,10.0,7/15/2021 22:16:04,6.0,7.0,2.0,1.0,2.0,5.0,5.0,5.0,2.0,3.0,5.0,1.0,6.0,6.0,5.0,6.0,2.0,2.0,3.0,6.0,2.0,5.0,2.0,1.0,1.0,6.0,
11,11.0,11.0,7/15/2021 22:30:47,6.0,6.0,7.0,7.0,6.0,6.0,6.0,5.0,1.0,1.0,7.0,1.0,6.0,7.0,7.0,6.0,1.0,1.0,1.0,6.0,2.0,6.0,2.0,1.0,2.0,6.0,
